Ticker,date,ff_accr_exp,ff_assets_com_eq,ff_assets_eq,Implosion_Next_Year,CPI,Unemployment Rate,GDP
A-US,2019-10-31,444.0,1.99073294018534,1.99073294018534,0,,,
A-US,2020-10-31,491.0,1.97557972501539,1.97557972501539,0,,,
A-US,2021-10-31,626.0,1.98645388754871,1.98645388754871,0,,,
A-US,2022-10-31,647.0,1.98529688972667,1.98529688972667,0,,,
AA-US,2019-12-31,413.0,3.55812256809339,3.55812256809339,0,,,
AA-US,2020-12-31,395.0,4.48807006946542,4.48807006946542,0,,,
AA-US,2021-12-31,383.0,3.21596746575342,3.21596746575342,0,,,
AA-US,2022-12-31,335.0,2.9070133963751,2.9070133963751,0,,,
AAAP-US,2013-12-31,,2.43458563535912,2.43458563535912,0,,,
AAAP-US,2014-12-31,0.0,2.18946552877787,2.18946552877787,0,,,
AAAP-US,2015-12-31,0.0,1.61470716448508,1.61470716448508,0,,,
AAAP-US,2016-12-31,0.0,1.39832231909998,1.39832231909998,0,,,
AAB-US,1995-12-31,596.31728,1.42491606636461,1.42491606636461,0,,,
AAB-US,1996-12-31,613.81386,1.36429896287782,1.36429896287782,0,,,
AAB-US,1997-12-31,628.8897,1.35347169401282,1.35347169401282,0,,,
AAB-US,1998-12-31,1071.83856,1.38798650988971,1.38798650988971,0,,,
AABC-US,2001-12-31,,12.9301561328081,12.9301561328081,0,,,
AABC-US,2002-12-31,,13.0031433711589,13.0031433711589,0,,,
AABC-US,2003-12-31,,13.3691883931735,13.3691883931735,0,,,
AABC-US,2004-12-31,,17.6224427407831,17.6224427407831,0,,,
AAC-US,2020-12-31,0.364935,46.9273868220529,46.9273868220529,0,,,
AAC-US,2021-12-31,3.523316,1.07540492664101,1.07540492664101,0,,,
AAC-US,2022-12-31,8.175694,1.06421288491331,1.06421288491331,0,,,
AACC-US,2009-12-31,5.96833,3.04816142302307,3.04816142302307,0,,,
AACC-US,2010-12-31,12.99622,3.0624063882506,3.0624063882506,0,,,
AACC-US,2011-12-31,7.410421,2.95860706261795,2.95860706261795,0,,,
AACC-US,2012-12-31,7.251212,2.90947943500193,2.90947943500193,0,,,
AACE-US,2003-06-30,,3.27620783956244,3.27620783956244,0,,,
AACE-US,2004-06-30,,1.64421678783873,1.64421678783873,0,,,
AACE-US,2005-06-30,,1.48776469990086,1.48776469990086,0,,,
AACE-US,2006-06-30,,1.7384376231748,1.7384376231748,0,,,
AACG-US,2019-12-31,5.47652841781884,2.25258102406072,2.25258102406072,0,,,
AACG-US,2020-12-31,5.12252423621525,2.90124457282078,2.90124457282078,0,,,
