,ticker_region,Implosion_Start_Date,Implosion_End_Date
0,LMAT-US,,
1,PNTG-US,,
2,ANDE-US,,
3,SVOKU-US,,
4,EOSE-US,,
5,XAIR-US,2017-11-24,2020-02-21
6,DCRNU-US,,
7,GTIV-US,,
8,STX-US,,
9,PEGI-US,,
10,KBR-US,,
11,NFLX-US,,
12,MDC-US,,
13,GBAB-US,,
14,FOCS-US,,
15,CGNX-US,,
16,VRNA-US,,
17,MHD-US,,
18,NUWE-US,2015-12-31,2023-03-31
19,PTIS-US,,
20,PPIH-US,,
21,UGP-US,,
22,LIAN-US,,
23,PNN-US,,
24,LABP-US,,
25,EPIX-US,2017-06-16,2021-01-08
26,JAH-US,,
27,FBMT-US,,
28,RGEN-US,,
29,ICFI-US,,
30,PF-US,,
31,CNF-US,,
32,WEB-US,,
33,INAQ-US,,
34,ASB-US,,
35,HOLI-US,,
36,PAG-US,,
37,AZO-US,,
38,PLAY-US,,
39,SMNS-US,,
40,ESAC-US,,
41,EFF-US,,
42,ART-US,,
43,ZIPTMX-US,,
44,LEXEB-US,,
45,SILO-US,,
46,NXGN-US,,
47,GACQU-US,,
48,ISLN-US,,
49,HECCU-US,,
50,ECLG-US,,
51,BLSC-US,,
52,FLIC-US,,
53,RMI-US,,
54,KRNY-US,,
55,TNC-US,,
56,SHP-US,,
57,SCUR-US,,
58,LFVN-US,2006-04-28,2012-02-24
59,VSLR-US,,
60,WRC-US,,
61,RPB-US,,
62,ICD-US,2020-02-07,2023-03-31
63,PLD-US,,
64,KSU-US,,
65,BJGP-US,,
66,QS-US,,
67,ADGF-US,,
68,NBR-US,,
69,SA-US,,
70,SLNO-US,,
71,IRAA-US,,
72,SPLK-US,,
73,NAFC-US,,
74,TBRGU-US,,
75,ACRV-US,,
76,ASFI-US,2008-06-13,2016-05-06
77,ALU-US,2001-06-22,2016-03-25
78,SPRD-US,,
79,CCOI-US,,
80,ICLK-US,,
81,INMRY-US,,
82,JAGX-US,2018-06-29,2023-03-31
83,DVXE-US,,
84,CELC-US,,
85,MAKO-US,,
86,LQDT-US,,
87,EEGL-US,,
88,DIVX-US,,
89,CBAN-US,,
90,CBM-US,,
91,TETC-US,,
92,IRM-US,,
93,COL-US,,
94,SCVL-US,,
95,CRK-US,2014-12-19,2023-03-31
96,OPTR-US,,
97,CBPO-US,,
98,JST-US,,
99,SBII-US,,
100,IVH-US,,
101,SEAT-US,,
102,PLUR-US,2008-05-09,2011-01-21
103,FICVU-US,,
104,RMT-US,,
105,F-US,,
106,CCT-US,,
107,KVIKB-US,,
108,ELBI-US,,
109,BLMT-US,,
110,RBN-US,,
111,LINX-US,,
112,AOGO-US,,
113,THCBU-US,,
114,MT-US,,
115,SUG-US,,
116,MGAM-US,,
117,CHUBK-US,,
118,AVNX-US,2001-02-09,2009-04-27
119,SLMD-US,,
120,DICE-US,,
121,FFBC-US,,
122,CRAI-US,,
123,USC-US,,
124,HORIU-US,,
125,NAL-US,,
126,DAVE-US,,
127,AMRS-US,2012-02-10,2023-03-31
128,AVTA-US,2001-01-12,2023-03-31
129,CPF-US,2009-07-03,2023-03-31
130,SIBN-US,,
131,INOD-US,,
132,CDE-US,,
133,VFC-US,,
134,MRSN-US,,
135,NXTM-US,,
136,PNT-US,,
137,VERI-US,,
138,KMDA-US,2014-09-12,2016-09-16
139,DGLY-US,,
140,FWONA-US,,
141,CXAI-US,,
142,ALIM-US,,
143,TOMZ-US,2010-01-15,2020-06-26
144,YCC-US,,
145,ALAR-US,2018-07-20,2023-03-31
146,DCCA-US,,
147,EBR-US,,
148,CST-US,,
149,IMOS-US,,
150,GAMC-US,,
151,HHGC-US,,
152,DESP-US,,
153,BXC-US,,
154,MWI-US,,
155,STEC-US,,
156,LHC-US,,
157,SCRMU-US,,
158,INGN-US,,
159,ALB-US,,
160,CBSA-US,,
161,SGML-US,,
162,VELO-US,,
163,PVBC-US,,
164,THRN-US,,
165,CHPMU-US,,
166,CAVB-US,,
167,SRLP-US,,
168,PINE-US,,
169,NGTC-US,,
170,ORH-US,,
171,CNXN-US,,
172,CVBF-US,,
173,GELX-US,,
174,DDUP-US,,
175,ADY-US,,
176,OMER-US,,
177,FNVT-US,,
178,HWEL-US,,
179,LITTU-US,,
180,EVGO-US,,
181,JNY-US,,
182,BLCI-US,,
183,OTMO-US,,
184,ECHO-US,,
185,SUSQ-US,,
186,PSB-US,,
187,GIA-US,,
188,SHS-US,,
189,SNCY-US,,
190,CFFS-US,,
191,ARGX-US,,
192,SIERU-US,,
193,UMPQ-US,,
194,SGHLU-US,,
195,KOG-US,,
196,ML-US,,
197,CTSO-US,2007-07-20,2014-12-19
198,VPF-US,,
199,LOCK-US,,
200,FINW-US,,
201,AEYE-US,,
202,LEGH-US,,
203,RIVR-US,,
204,CLFC-US,,
205,ZPIN-US,,
206,ASO-US,,
207,DALS-US,,
208,ALEX-US,,
209,ELBO-US,,
210,CAAS-US,,
211,INTX-US,,
212,TBH-US,,
213,FOF-US,,
214,GLP-US,,
