,ticker_region,Implosion_Start_Date,Implosion_End_Date
0,CNNE-US,,
1,TRGP-US,,
2,KSW-US,2001-03-09,2005-06-03
3,FOUNU-US,,
4,GDNR-US,,
5,SNDV-US,,
6,TECD-US,,
7,AGFY-US,,
8,ARX-US,,
9,AUDC-US,2001-06-08,2003-10-03
10,IVAC-US,,
11,LUMN-US,,
12,DANG-US,,
13,EPOC-US,,
14,PFCB-US,,
15,ZIVO-US,2014-04-25,2018-08-31
16,CCBT-US,,
17,PAI-US,,
18,PDSG-US,,
19,XBKS-US,2011-08-12,2013-07-26
20,AWP-US,2008-10-03,2010-10-29
21,BST-US,,
22,WN-US,,
23,AEAC-US,,
24,TSC-US,,
25,KKD-US,2004-07-30,2013-05-31
26,WRNB-US,,
27,ISSC-US,2008-03-21,2023-03-31
28,XPAX-US,,
29,BOR-US,,
30,INZY-US,,
31,YUME-US,,
32,TSHA-US,,
33,GYMB-US,,
34,CERE-US,,
35,BRAG-US,,
36,DT-US,,
37,DNZ-US,,
38,XPDB-US,,
39,KD-US,,
40,CIIG-US,,
41,NABL-US,,
42,PNM-US,,
43,DMRC-US,,
44,SVII-US,,
45,SSBK-US,,
46,ATW-US,2015-08-14,2017-10-05
47,ETSY-US,,
48,LCII-US,,
49,PDEX-US,2001-09-14,2003-06-13
50,LGTY-US,2001-01-12,2003-05-16
51,OCNF-US,,
52,MBLY-US,,
53,MROE-US,,
54,ELVN-US,2021-04-30,2023-03-31
55,ALKS-US,,
56,BARE-US,,
57,LSTZB-US,,
58,JANX-US,,
59,SRSL-US,2001-06-08,2003-07-18
60,SWFT-US,,
61,HASI-US,,
62,LIMS-US,,
63,VBTX-US,,
64,SEER-US,,
65,NGS-US,,
66,FAF-US,,
67,ETR-US,,
68,WDRY-US,,
69,PGY-US,,
70,XPER-US,,
71,MINI-US,,
72,TOFC-US,,
73,ENCPU-US,,
74,TRIN-US,,
75,TTIL-US,2002-10-25,2010-08-20
76,RML-US,,
77,ARBG-US,,
78,INLQ-US,,
79,FINV-US,,
80,SNDR-US,,
81,TCMD-US,,
82,MIGP-US,,
83,WERN-US,,
84,DCRBU-US,,
85,BRIV-US,,
86,ATPX-US,,
87,DEA-US,,
88,EF-US,,
89,CDK-US,,
90,EMCI-US,,
91,PCN-US,,
92,SLAM-US,,
93,PMM-US,,
94,RENE-US,,
95,DNAB-US,,
96,GRC-US,,
97,LRFC-US,2020-05-08,2023-03-31
98,SUNS-US,,
99,DVD-US,2002-06-14,2004-04-09
100,CRNT-US,2001-12-21,2003-08-22
101,FLAS-US,,
102,RTC-US,2007-12-31,2023-03-31
103,SMACU-US,,
104,HLLY-US,,
105,BSY-US,,
106,TIMB-US,2001-03-09,2004-10-08
107,SPLS-US,,
108,ITOS-US,,
109,CNEY-US,,
110,RVFD-US,,
111,BFED-US,,
112,GTH-US,,
113,CNXC-US,,
114,FFBI-US,,
115,STRS-US,2008-12-31,2013-03-15
116,PSX-US,,
117,OXBR-US,2017-12-15,2021-01-22
118,K-US,,
119,HYBD-US,,
120,TSRX-US,,
121,SBIT-US,,
122,TOL-US,,
123,CMLFU-US,,
124,NVEC-US,2005-01-14,2006-09-01
125,ALTG-US,,
126,DBDRU-US,,
127,GSBC-US,,
128,FLTX-US,,
129,GNVC-US,2011-01-07,2017-06-16
130,APD-US,,
131,PAYC-US,,
132,CTCT-US,,
133,FMTX-US,,
134,TMHC-US,,
135,BED-US,,
136,SRA-US,,
137,OCNW-US,2001-06-29,2003-05-23
138,SAMAU-US,,
139,ARHS-US,,
140,NTRA-US,,
141,RNHDA-US,,
142,SQNM-US,2002-06-28,2004-01-16
143,MPACU-US,,
144,ACII-US,,
145,TFSM-US,2001-01-26,2003-06-06
146,U-US,,
147,KSTN-US,,
148,ISCA-US,,
149,EME-US,,
150,FSH-US,,
151,MAQC-US,,
152,OMKT-US,,
153,VGI-US,,
154,CRNC-US,,
155,TAM-US,,
156,RTSX-US,,
157,ELOQ-US,,
158,GLK-US,2003-12-31,2008-02-18
159,AMPI-US,,
160,ATHA-US,,
161,CBAY-US,,
162,PXCM-US,,
163,MACAU-US,,
164,LOUD-US,2001-06-15,2003-07-11
165,ARRWU-US,,
