Metric,Value
ff_sales,21.484443277820247
ff_int_inc,2.084365309004496
ff_non_int_inc,
ff_gross_inc,-32.281477209227305
ff_oper_exp_oth,-0.8358058263455351
ff_oper_exp_tot,8.568167433603016
ff_oper_inc,5.543314466350115
ff_int_exp_tot,4.038580597175939
ff_loan_loss_prov,
ff_non_int_exp,
ff_ptx_xord_chrg,28.710738810262125
ff_ptx_xord_cr,5.723075125558866
ff_ptx_inc,16.368195114788037
ff_inc_tax,-6.418365445508196
ff_min_int_exp,-1.0219695906990993
ff_eq_aff_inc,-0.5294776572131319
ff_net_income,13.185242819725685
ff_div_pfd,-0.36114092117997426
ff_cash_st,57.86651978234364
ff_cash_only,39.515697791130314
ff_cash_due_fr_bk,
ff_bk_invest_tot,2.2427111021074793
ff_prem_receiv,
ff_receiv_tot,
ff_inven,11.916239570224395
ff_assets_curr,41.84676080084065
ff_assets_oth_intang,37.418914662555515
ff_intang,14.437147166290266
ff_assets,28.800273908000914
ff_deps,
ff_liabs_curr,65.50607418054173
ff_debt_st,42.71822455610085
ff_pay_acct,17.584637580491513
ff_accr_exp_xpayr,5.0331173480432465
ff_ins_liabs_pol,
ff_debt_lt,13.169339849472546
ff_prov_risk,-0.2136467030054967
ff_dfd_tax_itc,-0.08352763585076668
ff_liabs_xmin_int_accum,
ff_pfd_stk,-0.5647179213036067
ff_com_eq,-28.976753056397964
ff_debt,45.45033256990539
ff_debt_lt_conv,-0.21461285358123994
ff_shldrs_eq,-25.431692797181178
ff_tier1_cap,
ff_tier2_cap,
ff_int_pay,2.681015045542257
ff_secs_custody,
ff_secs_invest,
ff_net_inc_cf,9.409523415902651
ff_dep_exp_cf,8.008625749853994
ff_dfd_tax_cf,3.6058347143939713
ff_non_cash,-8.009175985881644
ff_funds_oper_gross,4.536071808526416
ff_xord_cf,
ff_wkcap_chg,-5.63819739520838
ff_acq_bus_cf,6.1932440580062265
ff_loan_incr_cf,-0.7196742959867752
ff_loan_decr_cf,-0.5445465834714046
ff_sale_assets_bus_cf,1.2672105209814841
ff_invest_activ_cf,14.772903256454454
ff_invest_sources_cf,4.983647128473806
ff_div_cf,0.6646902012066666
ff_deps_decr_cf,
ff_deps_incr_cf,
ff_for_exch_cf,-3.658598783395899
ff_chg_cash_cf,-1.0190088552626815
ff_dps,-0.2572885113986899
ff_ebit_oper_ps,12.744804389993634
ff_eps_reported,35.154778374906044
ff_bps,46.10090270995088
ff_com_shs_out_eps_basic,12.48154683451906
ff_com_shs_out_eps_dil,12.446342932223503
ff_com_shs_out,40.719054323112694
ff_price_close_fp,-0.5137402351186052
ff_invest_yld_5yavg,
ff_fy_length_days,-0.0010145450116623945
ff_consol_net_inc,12.218891957505361
ff_eq_tot,-25.448582787453148
ff_incr_fed_home_adv_cf,
ff_eps_basic,528.8755031022861
ff_com_shs_out_eps,12.675029556932582
ff_exp_tot,8.568167433603016
ff_notes_receiv_lt,-0.27196645410371884
ff_pay_tax,1.9408443983197927
ff_dfd_tax,-0.08352763585076668
ff_min_int_accum,-0.4806105690405493
ff_liabs_shldrs_eq,28.800273547995573
ff_loan_net,0.07183305737803745
ff_invest_aff,-0.18134155828497658
ff_cust_accept,
ff_invest_re,0.5943963000287272
ff_ppe_net,11.0215294915629
