Metric,Value
ff_oper_exp_oth,-68.17892706978421
ff_eq_aff_inc,-55.82842406613763
ff_div_pfd,-36.18875183217871
ff_bk_invest_tot,248.30175396293595
ff_prov_risk,-21.163154109689554
ff_debt_lt_conv,-15.283030118108599
ff_sale_assets_bus_cf,201.04310986137983
ff_invest_sources_cf,83.17137070868249
ff_div_cf,63.515735980401274
ff_dps,-22.08370988482715
ff_price_close_fp,-39.27561988031576
ff_fy_length_days,-0.028784126517809365
ff_invest_aff,-13.44595249866053
ff_rsrv_noneq,-100.0
ff_receiv_st,265.1954256263804
ff_adj_net_oth,-98.7988855639253
ff_dps_gross,-26.93242020228747
ff_div_pay_out_ps,-44.00734058053225
ff_rsrv_chg,-35.246691702053496
ff_restate_ind,-83.78378378378379
ff_fyr,0.19582776267856367
ff_loan_chg_cf,-92.64956677919093
ff_dps_all,-5.653449837545832
ff_misc_net_oth,-98.7988855639253
