,CPI,Unemployment Rate,GDP
1946-01-01,,,
1946-04-01,,,
1946-07-01,,,
1946-10-01,,,
1947-01-01,,,
1947-02-01,0.006517690875232907,,
1947-03-01,0.01757631822386685,,
1947-04-01,0.0,,0.011531312200819155
1947-05-01,-0.002272727272727315,,
1947-06-01,0.005922551252847352,,
1947-07-01,0.006793478260869623,,0.014705164899499135
1947-08-01,0.007647323436797082,,
1947-09-01,0.019642857142857295,,
1947-10-01,0.0030647985989491477,,0.04070757457379237
1947-11-01,0.006547359231776406,,
1947-12-01,0.015177797051170838,,
1948-01-01,0.011533532678342562,3.4,0.023088028643477365
1948-02-01,-0.0004222972972972583,3.8,
1948-03-01,-0.007182087029995898,4.0,
1948-04-01,0.013617021276595809,3.9,0.02568280512677701
1948-05-01,0.007976490344248521,3.5,
1948-06-01,0.005830903790087438,3.6,
1948-07-01,0.010351966873705987,3.6,0.024320625754401748
1948-08-01,0.0012295081967212962,3.9,
1948-09-01,-0.002865329512893977,3.8,
1948-10-01,-0.0020525451559935126,3.7,0.004190604449920254
1948-11-01,-0.006170300287947295,3.8,
1948-12-01,-0.004552980132450313,4.0,
1949-01-01,-0.0016632016632016633,4.3,-0.01901799790274139
1949-02-01,-0.004164931278633932,4.7,
1949-03-01,0.0,5.0,
1949-04-01,0.0004182350480970154,5.3,-0.013391071649323294
1949-05-01,-0.0004180602006689238,6.1,
1949-06-01,0.0004182350480970154,6.2,
1949-07-01,-0.009197324414715768,6.7,0.005667935625813136
1949-08-01,0.0,6.8,
1949-09-01,0.0021097046413502962,6.6,
1949-10-01,-0.003368421052631465,7.9,-0.008289084572848271
1949-11-01,0.0012674271229402567,6.4,
1949-12-01,-0.0037974683544304,6.6,
1950-01-01,-0.004235493434985083,6.5,0.03769394775835355
1950-02-01,0.004253509145044632,6.4,
1950-03-01,0.0012706480304955914,6.3,
1950-04-01,0.0004230118443315778,5.8,0.03402438503283145
1950-05-01,0.0050739957716703366,5.5,
1950-06-01,0.00462768195204033,5.4,
1950-07-01,0.007956448911222935,5.0,0.06119504240950757
1950-08-01,0.00540091400083087,4.5,
1950-09-01,0.005785123966942196,4.4,
1950-10-01,0.006573541495480617,4.2,0.03826670517567554
1950-11-01,0.004081632653061273,4.2,
1950-12-01,0.015447154471544655,4.3,
1951-01-01,0.01601281024819845,3.7,0.05018049977339856
1951-02-01,0.01773049645390068,3.4,
1951-03-01,0.0019357336430507743,3.4,
1951-04-01,0.0015455950540959051,3.1,0.024077380952380878
1951-05-01,0.002700617283950546,3.0,
1951-06-01,-0.002308580223162715,3.2,
1951-07-01,-0.0007713073659852965,3.1,0.021200848615188006
1951-08-01,-0.001929756850636899,3.1,
1951-09-01,0.006573859242072766,3.3,
1951-10-01,0.0049942374183633564,3.5,0.013640309062709077
1951-11-01,0.006116207951070374,3.5,
1951-12-01,0.005699088145896702,3.1,
1952-01-01,-0.000755572346052169,3.2,0.010225224466418492
1952-02-01,-0.0015122873345935206,3.1,
1952-03-01,-0.0007572889057174681,2.9,
1952-04-01,0.0026525198938991412,2.9,0.003362792507364709
1952-05-01,0.00037792894935750887,3.0,
1952-06-01,0.002266717038156507,3.0,
1952-07-01,0.005653976630229929,3.2,0.018477688834723116
1952-08-01,0.0003748125937033109,3.4,
1952-09-01,-0.0022480329711502822,3.1,
1952-10-01,0.0022530980097634767,3.0,0.03565668845067038
1952-11-01,0.0,2.8,
1952-12-01,0.0007493443237167607,2.7,
1953-01-01,-0.0026207412953950238,2.9,0.018822936252008926
1953-02-01,-0.0018768768768768762,2.6,
1953-03-01,0.00150432493418573,2.6,
1953-04-01,0.0022530980097634767,2.7,0.009714418268983005
1953-05-01,0.00037467216185826935,2.5,
1953-06-01,0.0026217228464420206,2.5,
1953-07-01,0.0007471049682479247,2.6,-0.001475434525678554
1953-08-01,0.002239641657334923,2.7,
1953-09-01,0.0014897579143389184,2.9,
1953-10-01,0.002231312755671233,3.1,-0.013295975417400463
1953-11-01,-0.0037105751391465214,3.5,
1953-12-01,0.0007448789571693482,4.5,
1954-01-01,0.002605135839225836,4.9,-0.001619296836541717
1954-02-01,0.0018559762435039762,5.2,
1954-03-01,-0.0022230455724341347,5.7,
1954-04-01,-0.0025993316004455647,5.9,0.0020137798596062684
1954-05-01,0.002606105733432562,5.9,
1954-06-01,0.00037133308577796953,5.6,
1954-07-01,-0.0029695619896066283,5.8,0.01262557592050162
1954-08-01,-0.00037230081906169943,6.0,
1954-09-01,-0.0014897579143390294,6.1,
1954-10-01,-0.0033569563595673424,5.7,0.022348054711557097
1954-11-01,0.002245508982035904,5.3,
1954-12-01,-0.00037341299477222645,5.0,
1955-01-01,0.0,4.9,0.03336969084441144
1955-02-01,0.0018677624206200338,4.7,
1955-03-01,-0.0011185682326622093,4.6,
1955-04-01,0.0,4.7,0.020478220556657156
1955-05-01,-0.000746547219111604,4.3,
1955-06-01,-0.0022413149047441072,4.2,
1955-07-01,0.0018719580681392234,4.0,0.02061290720514708
1955-08-01,-0.001494768310911887,4.2,
1955-09-01,0.0048652694610780145,4.1,
1955-10-01,-0.0011173184357542443,4.3,0.01597086148746807
1955-11-01,0.0022371364653244186,4.2,
1955-12-01,-0.00037202380952372494,4.2,
1956-01-01,-0.0014886490509863348,4.0,0.006071948239729785
1956-02-01,0.001118151323145744,3.9,
1956-03-01,0.0011169024571855424,4.2,
1956-04-01,0.0014875418371140814,4.0,0.014244586647746749
1956-05-01,0.0037133308577794732,4.3,
1956-06-01,0.00443951165371792,4.3,
1956-07-01,0.0051565377532227785,4.4,0.011616331472388497
1956-08-01,0.0007328691828507594,4.1,
1956-09-01,0.0014646649578908821,3.9,
1956-10-01,0.005850091407678226,3.9,0.020550055298088843
1956-11-01,0.0,4.3,
1956-12-01,0.004362050163576825,4.2,
1957-01-01,0.001447701773434673,4.2,0.020231810156299046
1957-02-01,0.004698229129020515,3.9,
1957-03-01,0.0021582733812948174,3.7,
1957-04-01,0.002512562814070307,3.9,0.004780971478077989
1957-05-01,0.0025062656641603454,4.1,
1957-06-01,0.003928571428571503,4.3,
1957-07-01,0.0028459622909997595,4.2,0.01581484031566127
1957-08-01,0.0031926214969848488,4.1,
1957-09-01,0.0014144271570013522,4.4,
1957-10-01,0.0,4.5,-0.009647750735156224
1957-11-01,0.0031779661016948513,5.1,
1957-12-01,0.002111932418162654,5.2,
1958-01-01,0.005971197752019819,5.8,-0.015423363320866468
1958-02-01,0.0020949720670391248,6.4,
1958-03-01,0.005923344947735165,6.7,
1958-04-01,0.002424662279182588,7.4,0.009492235958420636
1958-05-01,0.0,7.4,
1958-06-01,-0.0010366275051831852,7.3,
1958-07-01,-0.0006918021445866396,7.5,0.029372131751903785
1958-08-01,0.001730702665282191,7.4,
1958-09-01,-0.0010366275051831852,7.1,
1958-10-01,0.0,6.7,0.028227341866989386
1958-11-01,0.0013836042891732792,6.2,
1958-12-01,0.000690846286701241,6.2,
1959-01-01,0.001380738695202055,6.0,0.02156919658496048
1959-02-01,-0.00034470872113068207,5.9,
1959-03-01,-0.001034482758620725,5.6,
1959-04-01,0.00034518467380051376,5.2,0.02414712049066292
1959-05-01,0.0020703933747412417,5.1,
1959-06-01,0.002410468319559156,5.0,
1959-07-01,0.0013740982480248132,5.1,0.004555603813620079
1959-08-01,0.0010291595197255976,5.2,
1959-09-01,0.002398903358464821,5.5,
1959-10-01,0.0034188034188034067,5.7,0.006791941093338805
1959-11-01,0.0,5.8,
1959-12-01,0.002044293015332155,5.3,
1960-01-01,-0.0013600816048963127,5.2,0.026575860764282977
1960-02-01,0.0013619339462036528,4.8,
1960-03-01,0.0,5.4,
1960-04-01,0.0044202652159128775,5.2,-0.0028895342837345073
1960-05-01,0.0010155721056195333,5.1,
1960-06-01,0.001352722353736846,5.4,
1960-07-01,-0.0020263424518742745,5.5,0.00836105566644485
1960-08-01,0.0020304568527917954,5.6,
1960-09-01,0.0,5.5,
1960-10-01,0.004728132387706863,6.1,-0.009910117961012044
1960-11-01,0.0010084033613446675,6.1,
1960-12-01,0.001007387508394908,6.6,
1961-01-01,0.0010063737001007045,6.6,0.008924521979944311
1961-02-01,0.0,6.9,
1961-03-01,0.0,6.9,
1961-04-01,-0.00100536193029499,7.0,0.01931495840504338
1961-05-01,0.0010063737001007045,7.1,
1961-06-01,0.0,6.9,
1961-07-01,0.002680965147453085,7.0,0.021814614477675187
1961-08-01,0.0006684491978610207,6.6,
1961-09-01,0.0013360053440214514,6.7,
