,fsym_id,Implosion_Start_Date,Implosion_End_Date
0,BHZYXG-R,,
1,BW85Z6-R,,
2,BYNP13-R,,
3,C9XQRP-R,,
4,DKMTLY-R,,
5,F1B8CH-R,,
6,F7R72G-R,,
7,FL275K-R,,
8,FNGK9P-R,,
9,GM273H-R,,
10,HTQ1CD-R,,
11,L1XD4W-R,,
12,L8N68Q-R,,
13,MCRFNX-R,,
14,MNWT3V-R,,
15,MPRB23-R,,
16,MS5M9D-R,,
17,MSQ612-R,,
18,N4SK8P-R,,
19,NPCX9F-R,,
20,P0Y5Z1-R,,
21,P713TW-R,,
22,PSP7ST-R,,
23,PW0PZT-R,,
24,PY52L3-R,,
25,R1C6H0-R,,
26,RS288R-R,,
27,S6ZVJX-R,,
28,S9NVWV-R,,
29,SSDWMV-R,,
30,SZMS8M-R,,
31,T7H7M3-R,,
32,TXX2Q3-R,,
33,V9KKT0-R,,
34,VC909R-R,,
35,VCNTLL-R,,
36,VT8SCL-R,,
37,W38L37-R,,
38,B4ML85-R,,
39,B6V8W7-R,,
40,B93TDF-R,,
41,BSK2YN-R,,
42,CF350L-R,,
43,CFF5LG-R,,
44,CN4BLT-R,,
45,CQ830J-R,,
46,CTYNJ1-R,,
47,DZ32DK-R,,
48,FCDQV8-R,,
49,FK8DP3-R,,
50,GK1W5Z-R,,
51,GRPNJZ-R,,
52,GVJ4NB-R,,
53,HG6JDT-R,,
54,HTSBRK-R,,
55,J051Z8-R,,
56,J0B5GT-R,,
57,J8DQ9Y-R,,
58,K6TD6N-R,,
59,K6TS68-R,,
60,KFHYZB-R,,
61,KHSZDZ-R,,
62,L0T6VP-R,,
63,M1KBT8-R,,
64,MLF0NS-R,,
65,NPK7YX-R,,
66,P53DSP-R,,
67,Q0VRDW-R,,
68,Q3JWZX-R,,
69,R3MNW4-R,,
70,RCKMZZ-R,,
71,RDT8P7-R,,
72,RJ3T7G-R,,
73,RK4GM5-R,,
74,RR8QW3-R,,
75,SL1K0D-R,,
76,SRT1FX-R,,
77,VCPZTP-R,2016-01-29,2022-10-21
78,VR8KBV-R,,
79,XD9QSK-R,,
80,CW2L3T-R,,
81,D8HQP8-R,,
82,DCYMKL-R,,
83,FPVVBS-R,,
84,FV824M-R,,
85,FYW95Y-R,,
86,G2602B-R,,
87,GB3Z65-R,,
88,H8P8T3-R,,
89,HLX79K-R,,
90,HVT9QK-R,2008-10-10,2010-04-23
91,J8B6TW-R,,
92,JPYFTV-R,,
93,JSWLYN-R,,
94,KN9YCB-R,,
95,KV6S1X-R,,
96,KZMN3C-R,,
97,KZMWKL-R,,
98,LFSKLN-R,,
99,LQ0VC3-R,,
100,LTN366-R,,
101,LTTPWG-R,,
102,M1GB1F-R,,
103,MDP6KY-R,2016-01-08,2021-04-30
104,MJNB03-R,,
105,MZTM6R-R,,
106,N829B5-R,,
107,NZMNP0-R,,
108,PF8Z08-R,,
109,Q67WYH-R,,
110,QBBKSM-R,,
111,QLCML4-R,,
112,QLJSDZ-R,,
113,QQ0ZRH-R,,
114,RWHJZH-R,,
115,S0S28D-R,,
116,S0X6MR-R,,
117,S4HP7C-R,,
118,T55CJN-R,,
119,TJN9X6-R,,
120,VCP8G0-R,,
121,VDT73T-R,,
122,VS5NDP-R,,
123,VYT77D-R,,
124,WF5W6N-R,,
125,WSTSNG-R,2012-12-07,2019-12-13
126,B5TG5C-R,,
127,BCDK9T-R,,
128,BF95H6-R,,
129,BFNDNH-R,,
130,C3Z1XR-R,,
131,D951YV-R,,
132,DDZB0B-R,,
133,DV0X0D-R,,
134,F17SJ1-R,,
135,GM4V83-R,,
136,HCCN5Q-R,,
137,HNBSDH-R,,
138,JMD1KH-R,,
139,K6Q1VJ-R,,
140,KB3SCM-R,,
141,KHX8Q2-R,,
142,L5H9R0-R,,
143,LMBKN2-R,,
144,LQVPSH-R,,
145,LW0Y4N-R,,
146,LWS8NK-R,,
147,LZTYBJ-R,,
148,M8BK3Y-R,,
149,MJDB2Y-R,,
150,NDXXGD-R,,
151,NG20JG-R,,
152,NXH0KG-R,,
153,PFVDHW-R,,
154,Q1Y7PQ-R,,
155,Q64D86-R,,
156,QVN2NS-R,,
157,R2G7CY-R,,
158,RLDWT5-R,,
159,VHZ0ML-R,,
160,VNQT4Y-R,,
161,VR5174-R,,
162,WB33JR-R,,
163,X1X2X7-R,,
164,BDTGPN-R,2019-04-26,2021-01-01
165,BM7J26-R,,
166,BPQNV7-R,,
167,BX0YNW-R,,
168,CJVLKB-R,,
169,FMHQX5-R,,
170,GBYBZC-R,,
171,GF5N9K-R,,
172,GHRTP8-R,,
173,GQYW6Q-R,,
174,H8NDNT-R,,
175,HP7VB7-R,,
176,HRDN6D-R,,
177,HW4VZL-R,,
178,HWY9GD-R,,
179,J3YT9J-R,,
180,J99C0W-R,,
181,JYR3RN-R,,
182,K4HQD8-R,,
183,KCB7TS-R,,
184,KFJRH2-R,,
185,KNH244-R,2007-09-21,2023-08-11
186,KZQ241-R,,
187,L8RDCQ-R,,
188,LN17M1-R,2014-05-23,2023-04-14
189,LNQY7N-R,,
190,MNVQ0T-R,,
191,MXPL7R-R,,
192,N7XT8G-R,,
193,NG6WKS-R,,
194,NLSCJP-R,,
195,NT0X8Y-R,,
196,PBZHQ6-R,,
197,PPC320-R,,
198,PRKZKS-R,,
199,Q1KQ17-R,,
200,QG64LL-R,,
201,QTH475-R,,
202,QZN4XV-R,,
203,R41TL3-R,,
204,RPQJVS-R,,
