,fsym_id,Implosion_Start_Date,Implosion_End_Date
0,BHZYXG-R,,
1,BW85Z6-R,2002-04-05,2003-10-28
2,BYNP13-R,,
3,C9XQRP-R,,
4,DKMTLY-R,,
5,F1B8CH-R,,
6,F7R72G-R,,
7,FL275K-R,2015-07-31,2023-11-01
8,FNGK9P-R,,
9,GM273H-R,,
10,H0LGFQ-R,,
11,HTQ1CD-R,,
12,L0P1XS-R,,
13,L1XD4W-R,,
14,L8N68Q-R,,
15,MCRFNX-R,,
16,MNWT3V-R,,
17,MPRB23-R,,
18,MS5M9D-R,,
19,MSQ612-R,,
20,N4SK8P-R,,
21,NPCX9F-R,,
22,P0Y5Z1-R,,
23,P713TW-R,,
24,PSP7ST-R,,
25,PW0PZT-R,,
26,PY52L3-R,,
27,R1C6H0-R,,
28,RS288R-R,,
29,S6ZVJX-R,,
30,S9NVWV-R,,
31,SSDWMV-R,,
32,SZMS8M-R,,
33,T7H7M3-R,,
34,TXX2Q3-R,,
35,V9KKT0-R,,
36,VC909R-R,,
37,VCNTLL-R,,
38,VT8SCL-R,,
39,W38L37-R,,
40,B4ML85-R,,
41,B6V8W7-R,,
42,B93TDF-R,,
43,BSK2YN-R,,
44,BSZDZS-R,,
45,CF350L-R,,
46,CFF5LG-R,,
47,CN4BLT-R,,
48,CQ830J-R,,
49,CTYNJ1-R,,
50,DZ32DK-R,,
51,FCDQV8-R,,
52,FK8DP3-R,,
53,GK1W5Z-R,,
54,GL17HW-R,,
55,GRPNJZ-R,,
56,GVJ4NB-R,,
57,HG6JDT-R,,
58,HTSBRK-R,,
59,J051Z8-R,,
60,J0B5GT-R,2000-07-07,2002-07-26
61,J8DQ9Y-R,,
62,K6TD6N-R,,
63,K6TS68-R,,
64,KFHYZB-R,,
65,KHSZDZ-R,,
66,L0T6VP-R,,
67,M1KBT8-R,,
68,MLF0NS-R,,
69,NPK7YX-R,,
70,P53DSP-R,,
71,Q0VRDW-R,,
72,Q3JWZX-R,,
73,R3MNW4-R,,
74,RCKMZZ-R,,
75,RDT8P7-R,,
76,RJ3T7G-R,,
77,RK4GM5-R,,
78,RR8QW3-R,,
79,SL1K0D-R,,
80,SRT1FX-R,,
81,VCPZTP-R,2011-06-03,2014-01-17
82,VR8KBV-R,,
83,X14Y0S-R,,
84,XD9QSK-R,,
85,CW2L3T-R,,
86,D8HQP8-R,,
87,DCYMKL-R,,
