,price_drop,period_thresh,increase_thresh,num_imploded,avg_imp_len
0,-0.6,52,0.2,692,-2506.351156069364
1,-0.6,52,0.4,773,-2621.6041397153945
2,-0.6,78,0.2,608,-2788.8207236842104
3,-0.6,78,0.4,689,-2884.058055152395
4,-0.6,104,0.2,439,-3615.5945330296126
5,-0.6,104,0.4,512,-3659.353515625
6,-0.8,52,0.2,271,-2318.867158671587
7,-0.8,52,0.4,320,-2453.96875
8,-0.8,78,0.2,207,-2891.7294685990337
9,-0.8,78,0.4,247,-3041.36032388664
10,-0.8,104,0.2,159,-3577.050314465409
11,-0.8,104,0.4,193,-3718.2901554404143
