,price_drop,period_thresh,increase_thresh,num_imploded,avg_imp_len,imp_per_stock
0,-0.6,78,-0.2,1056,-2074.8925855513307,1.1267738883632923
1,-0.6,78,0.0,2120,-1920.8078561287268,1.2424098671726755
2,-0.6,78,0.2,2355,-1933.8396106644097,1.2548523206751054
3,-0.6,104,-0.2,819,-2589.035322777101,1.0919117647058822
4,-0.6,104,0.0,1647,-2388.710206561361,1.1875378100423473
5,-0.6,104,0.2,1888,-2316.751840168244,1.1918760021378942
6,-0.7,78,-0.2,896,-2129.38179800222,1.1265260821309655
7,-0.7,78,0.0,1718,-1930.7286461359674,1.244909831297266
8,-0.7,78,0.2,1924,-1932.2907098121086,1.24364955935718
9,-0.7,104,-0.2,691,-2642.5775862068967,1.0905172413793103
10,-0.7,104,0.0,1336,-2411.826022304833,1.177794448612153
11,-0.7,104,0.2,1506,-2398.9720558882236,1.1794019933554818
12,-0.8,78,-0.2,711,-2158.808180535966,1.1272727272727272
13,-0.8,78,0.0,1283,-1950.5257890685143,1.2467028704422032
14,-0.8,78,0.2,1421,-1984.4608938547485,1.2359154929577465
15,-0.8,104,-0.2,563,-2642.4442477876105,1.0833333333333333
16,-0.8,104,0.0,1024,-2418.1564027370478,1.1830708661417322
17,-0.8,104,0.2,1133,-2458.4420035149383,1.1648936170212767
