,Ticker,Implosion_Date
0,AADI,2019-03-24
1,ABEO,2012-07-15
2,ABIO,2011-08-07
3,ABUS,2015-11-01
4,ABVC,2010-04-04
5,ACB,2019-12-01
6,ACCD,2022-03-06
7,ACF,2012-07-01
8,ACFC,2011-08-28
9,ACHL,2022-04-03
10,ACHV,2014-05-11
11,ACOR,2019-07-14
12,ACRS,2019-01-20
13,ACRX,2022-01-23
14,ACST,2021-11-21
15,ADAG,2022-03-06
16,ADCT,2022-09-04
17,ADD,2012-07-22
18,ADES,2015-09-13
19,ADIL,2022-07-24
20,ADN,2022-02-13
21,ADNT,2018-11-11
22,ADPT,2022-02-20
23,ADTH,2022-08-14
24,ADTX,2021-12-05
25,ADVM,2021-05-02
26,ADVM,2015-08-09
27,ADXN,2022-07-24
28,AEHL,2022-01-30
29,AEI,2021-11-28
30,AEMD,2017-06-11
31,AEVA,2022-09-25
32,AEYE,2015-05-17
33,AEYE,2021-11-21
34,AEZS,2012-04-15
35,AFIB,2021-11-14
36,AFRM,2022-04-24
37,AGFY,2022-02-27
38,AGLE,2022-03-06
39,AGMH,2021-12-19
40,AGRX,2021-10-10
41,AHG,2019-03-10
42,AHT,2020-06-21
43,AI,2022-01-30
45,AIHS,2022-01-02
44,AIHS,2019-07-21
46,AIMD,2022-08-14
47,AIU,2021-05-30
48,AKA,2022-10-30
49,AKLI,2022-09-25
50,AKTX,2018-02-04
51,AKTX,2022-10-16
52,ALAR,2019-08-18
53,ALGS,2022-01-09
54,ALLK,2021-12-26
55,ALLT,2022-05-15
56,ALPP,2022-04-03
57,ALPP,2018-01-14
58,ALRN,2018-07-29
59,ALT,2018-10-07
60,ALTO,2011-06-12
61,ALVR,2022-01-23
62,ALXO,2021-12-19
63,AMLI,2017-03-12
64,AMPY,2014-12-07
65,AMRN,2013-10-20
66,AMRN,2020-04-19
67,AMSC,2011-05-22
68,AMST,2021-11-21
69,AMTI,2021-12-05
70,AMWL,2021-11-28
71,ANGH,2022-07-17
72,ANIP,2012-01-22
73,ANNX,2022-01-09
74,ANTE,2018-04-08
75,ANY,2015-12-06
76,AP,2018-10-28
77,APDN,2019-07-28
78,API,2021-12-05
79,APLT,2022-01-09
80,APM,2020-03-01
81,APPS,2022-06-05
82,APRE,2021-02-07
83,APRN,2022-10-16
84,APTO,2022-01-02
85,APTX,2022-04-17
87,APVO,2021-12-05
86,APVO,2019-03-10
88,AQB,2021-12-05
89,AQB,2018-01-14
90,AQMS,2017-10-29
91,AR,2019-07-28
92,ARAV,2017-09-24
93,ARBK,2022-09-25
94,ARCT,2017-02-05
95,ARDS,2021-12-05
96,ARDX,2021-07-25
97,AREC,2019-08-18
98,AROC,2015-11-15
99,ARTL,2022-01-16
100,ARVL,2022-01-23
101,ASAN,2022-05-01
102,ASLN,2022-01-23
103,ASMB,2012-07-15
104,ASMB,2020-11-08
105,ASPN,2022-08-21
1188,ASPS,2014-12-28
106,ASRT,2019-08-11
107,ASTR,2022-04-24
108,ASYS,2012-05-20
109,ATEC,2015-08-30
110,ATER,2021-10-31
111,ATHA,2022-07-10
112,ATHE,2014-11-09
113,ATHX,2022-06-12
114,ATIP,2021-10-17
115,ATNF,2022-01-23
116,ATOS,2015-11-22
118,ATRA,2019-08-04
117,ATRA,2022-08-21
119,ATUS,2022-11-20
120,ATXG,2019-03-24
121,ATXI,2021-06-20
122,AUID,2022-06-19
123,AUR,2022-05-29
124,AUVI,2022-01-02
125,AVAH,2022-05-01
126,AVGR,2016-07-31
127,AVIR,2021-10-31
128,AVRO,2021-12-05
129,AVTX,2022-01-09
130,AWH,2021-11-28
131,AWH,2010-08-15
132,AXDX,2022-01-30
133,AYRO,2014-12-07
134,AYTU,2016-01-10
