,Ticker,Implosion_Date
0,AAPL,2015-01-02
1,AAPL,2020-09-11
2,ABEV,2011-01-07
3,ABEV,2014-01-10
4,ABIO,2007-04-20
5,ACGL,2011-05-20
6,ADO,2002-01-11
7,AI,2022-01-28
8,AKAM,2001-01-12
9,ALLK,2021-12-31
10,ALXO,2021-12-17
11,AMAL,2019-06-07
12,AMEH,2007-07-27
13,AMEH,2009-06-26
14,AMZN,2001-01-12
15,ANET,2021-11-26
17,APAGF,2013-01-18
16,APAGF,2008-01-11
18,API,2021-12-17
19,ARBA,2001-01-12
20,ARMH,2001-01-12
21,ARTG,2001-01-26
22,ASKJ,2001-01-19
23,ASPS,2015-01-02
24,ATLO,2005-08-12
25,ATXG,2020-04-10
26,AUDC,2001-02-02
27,AVNX,2002-01-11
28,AVTA,2001-01-12
29,AX,2015-11-27
30,AXON,2005-01-14
31,AXR,2009-03-06
32,BAND,2022-03-04
33,BB,2011-11-25
34,BCH,2019-01-11
35,BCSI,2001-01-26
36,BHC,2016-03-04
37,BILI,2022-01-28
38,BLUE,2021-11-12
39,BPT,2020-03-20
40,BVSN,2001-01-12
41,BWNG,2002-01-11
42,CELH,2010-11-19
43,CELH,2007-11-09
44,CELL,2021-09-24
45,CF,2015-06-26
46,CHGG,2021-11-12
47,CHL,2001-01-12
48,CIEN,2002-01-11
49,CLAR,2001-01-19
50,CMOS,2001-01-26
51,COLT,2002-01-11
52,CP,2021-05-21
53,CRA,2001-01-12
54,CRNC,2022-02-25
55,CSGP,2021-07-02
56,CSWC,2015-10-09
57,CSWC,2014-01-10
58,CSX,2011-06-24
59,CSX,2021-07-09
60,CTSH,2008-01-18
61,CVAC,2022-01-14
62,CYSV,2001-01-26
63,DAC,2009-02-06
64,DCLK,2001-01-12
65,DITC,2001-05-04
66,DQ,2011-10-07
67,DRYS,2009-01-09
68,DXPE,2009-01-16
70,EDU,2021-03-19
69,EDU,2011-08-26
71,EHTH,2021-11-26
72,EMKR,2009-01-02
73,ENPH,2015-08-28
74,ENTU,2001-02-02
75,EPNY,2001-01-12
76,ERIC,2001-01-12
78,ESPR,2021-10-22
77,ESPR,2015-10-09
79,EVBG,2022-01-28
80,EVO,2021-10-29
81,EVO,2006-11-03
82,EXAR,2001-02-09
83,EXTR,2001-02-09
84,FARM,2004-05-21
85,FCEL,2016-12-09
86,FDRY,2001-01-26
87,FMAO,2006-05-19
88,FMKT,2001-01-12
89,FRPH,2011-01-28
90,FSLR,2011-11-04
91,FSLY,2022-02-25
92,FVRR,2022-02-25
93,GEG,2008-01-11
94,GEG,2002-01-11
95,GILT,2001-01-12
96,GKNT,2001-01-12
97,GLW,2001-01-12
98,GMAB,2009-11-13
99,GOTU,2021-05-07
100,HBI,2015-03-13
101,HDB,2011-07-29
102,HES,2006-06-09
103,HPQ,2001-01-12
104,HPQ,2015-12-04
105,ICE,2016-11-11
106,IGMS,2021-12-17
107,INCY,2001-01-12
108,INFY,2015-07-03
109,INTC,2001-01-12
110,INVE,2015-08-07
111,IPI,2015-11-06
112,ISRG,2021-10-15
113,ITRU,2001-01-12
114,ITT,2011-11-11
115,ITWO,2001-01-12
116,ITXC,2001-01-26
117,JNIC,2001-02-02
118,JNPR,2002-01-18
119,KDP,2019-01-11
120,KEYN,2001-01-12
121,KKD,2004-09-10
122,KSU,2001-02-09
123,LL,2015-05-29
124,LMND,2022-01-21
125,LMNR,2010-06-25
126,LSPD,2022-01-28
127,LVLT,2002-01-11
128,MAXY,2001-01-26
129,MBT,2005-01-07
130,MCTR,2001-01-26
131,MLNM,2001-01-12
132,MODD,2010-04-16
133,MRTX,2016-06-10
134,MRVC,2001-02-16
135,MRVL,2006-08-04
136,MSI,2001-01-12
137,MSLV,2001-01-12
138,MSTR,2001-01-12
139,MT,2001-01-12
140,MTB,2001-01-12
141,MTL,2011-11-25
