,ticker_region,Implosion_Start_Date,Implosion_End_Date
0,NPAUU-US,,
1,RETA-US,,
2,CTRM-US,2020-02-07,2023-03-31
3,CPAR-US,,
4,UWMC-US,,
5,ADTH-US,,
6,NRGP-US,,
7,CRSR-US,,
8,AVIR-US,,
9,IVIL-US,,
10,NFJ-US,,
11,OPFI-US,,
12,IRWD-US,,
13,VGR-US,,
14,RTPYU-US,,
15,KW-US,,
16,EM-US,,
17,JUGGU-US,,
18,HONE-US,,
19,MNMD-US,2018-02-09,2020-11-27
20,BPMC-US,,
21,CFSL-US,,
22,POR-US,,
23,PLYM-US,,
24,AKBA-US,,
25,NTRS-US,,
26,CENF-US,,
27,ACEVU-US,,
28,NBSTU-US,,
29,MBWM-US,,
30,TDY-US,,
31,BNRE-US,,
32,SGVB-US,,
33,PFSL-US,,
34,MGCD-US,,
35,THE-US,,
36,HNT-US,,
37,INO-US,,
38,ZEAL-US,,
39,PFX-US,,
40,THO-US,,
41,KRTX-US,,
42,UFPT-US,,
43,EVN-US,,
44,RCBK-US,,
45,CFSG-US,,
46,WGO-US,,
47,BSBR-US,,
48,CLDX-US,2016-02-05,2023-03-31
49,CXM-US,,
50,LRCX-US,,
51,NNDS-US,,
52,AVGO-US,,
53,OMX-US,,
54,MME-US,,
55,BTOB-US,,
56,WDR-US,,
57,ADT-US,,
58,TELA-US,,
59,FVT-US,,
60,MCW-US,,
61,GLUE-US,,
62,CGRM-US,,
63,JOFFU-US,,
64,VIV-US,,
65,PPSI-US,,
66,PHIO-US,2015-03-27,2023-03-31
67,AGAE-US,,
68,VAC-US,,
69,KELYA-US,,
70,CVI-US,,
71,OXIRE-US,,
72,OI-US,,
73,PCMI-US,,
74,SQSW-US,,
75,EGOV-US,2001-01-26,2003-10-10
76,RRD-US,2016-10-28,2022-02-24
77,GFED-US,2008-10-10,2013-02-01
78,IPX-US,,
79,CKXE-US,,
80,RGA-US,,
81,ARXX-US,,
82,NBAN-US,,
83,DLLR-US,,
84,PTEK-US,2008-11-21,2014-10-01
85,DBRG-US,,
86,SDACU-US,,
87,RVLP-US,,
88,ADERU-US,,
89,ZZ-US,,
90,FUSB-US,,
91,VHC-US,2001-02-16,2007-01-19
92,NSPK-US,,
93,ALIT-US,,
94,AAT-US,,
95,KZ-US,,
96,BHBK-US,,
97,PENN-US,,
98,GCW-US,,
99,FESX-US,,
100,WNNB-US,,
101,STRZB-US,2008-03-07,2009-09-04
102,MMBI-US,,
103,PBCI-US,,
104,WIW-US,,
105,ERS-US,,
106,MNCLU-US,,
107,EQRX-US,,
108,HITI-US,,
109,PRCP-US,,
110,ISTN-US,,
111,LSCP-US,,
112,CYTK-US,,
113,GTYHU-US,,
114,LEDG-US,,
115,LPRO-US,,
116,MTLX-US,,
117,CODI-US,,
118,NXPL-US,2001-01-19,2023-03-31
119,ZVIA-US,,
120,TMH-US,,
121,DPZ-US,,
122,NEB-US,,
123,TANH-US,2016-05-06,2023-03-31
124,WD-US,,
125,CNBT-US,,
126,SFSF-US,,
127,SMTL-US,,
128,DXR-US,,
129,GSUN-US,,
130,CTO-US,,
131,ICOC-US,,
132,DCP-US,,
133,CSTR-US,,
134,HZNP-US,,
135,IOT-US,,
136,HHHHU-US,,
137,ALAO-US,,
138,VOCS-US,,
139,CTIC-US,2007-12-21,2023-03-31
140,JWAC-US,,
141,TEAF-US,,
142,BIAF-US,,
143,ANAD-US,,
144,BECN-US,,
145,IMBI-US,,
146,CIICU-US,,
147,TYPE-US,,
148,DTSX-US,2001-01-26,2006-09-11
149,UGLY-US,,
150,INMD-US,,
151,RCNI-US,,
152,GEHL-US,,
153,PFSW-US,,
154,KEA-US,,
155,ROCLU-US,,
156,TZOO-US,,
157,BSGM-US,,
158,FFIE-US,,
159,TVGIA-US,,
160,KXIN-US,,
161,AEE-US,,
162,UNFI-US,,
163,AQN-US,,
164,NAPA-US,,
165,XFLT-US,,
166,ARKO-US,,
167,JFR-US,,
168,INMX-US,,
169,UPLD-US,,
170,INSUU-US,,
171,ENOC-US,,
172,IDCC-US,,
173,BBCP-US,,
174,MNST-US,,
175,CPOP-US,,
176,TPL-US,,
177,FMBH-US,,
178,ZIMV-US,,
179,CDNW-US,,
180,TRI-US,,
181,LIPO-US,,
182,MIKR-US,,
183,JMG-US,,
184,HCAR-US,,
185,FOLD-US,,
186,IH-US,,
187,NSK-US,,
188,SMCI-US,,
189,ACVA-US,,
190,BENE-US,,
191,LINC-US,,
192,SIEN-US,,
193,BDSX-US,,
194,ONCY-US,,
195,OZK-US,,
196,ZONS-US,,
197,SOA-US,,
198,BSFT-US,,
199,OLGR-US,,
200,BLNK-US,2011-01-21,2023-03-31
201,MP-US,,
202,TCR-US,,
203,HS-US,,
204,ICLR-US,,
205,ADAL-US,,
206,MSSR-US,,
207,LSDI-US,,
208,XRTX-US,2019-09-13,2021-08-06
209,OPTK-US,,
210,UCBI-US,,
211,IBCA-US,,
212,AVID-US,,
213,CLC-US,,
214,QRHC-US,,
215,NXE-US,,
216,TSTY-US,,
217,AVAV-US,,
218,NOA-US,,
219,RPAI-US,,
220,GEOS-US,,
221,ARAY-US,,
222,BFC-US,,
223,RIV-US,,
224,FRPT-US,,
225,FLA-US,,
226,ZS-US,,
227,BAK-US,,
228,ATOS-US,2015-11-20,2023-03-31
229,RMTI-US,,
230,BZUN-US,,
231,VBFC-US,,
232,UCL-US,,
233,DSSI-US,,
234,YRKG-US,,
235,TYL-US,,
236,HBE-US,,
237,MLI-US,,
238,KRO-US,,
239,AUB-US,,
240,ISRL-US,,
241,ROCRU-US,,
242,FPHC-US,,
243,USFD-US,,
244,AVO-US,,
245,TRMT-US,,
246,PAHC-US,,
247,KRC-US,,
248,APAGF-US,2012-05-11,2015-01-29
249,RTN-US,,
250,HCNE-US,,
251,BCTX-US,,
252,FA-US,,
253,VUZI-US,,
254,AXSM-US,,
255,QLTY-US,,
256,VTNR-US,2001-01-12,2003-11-07
257,KMX-US,,
258,UONE-US,2007-11-23,2009-10-30
259,KAIRU-US,,
260,PIXY-US,2019-04-26,2023-03-31
261,ACIU-US,,
262,ASEC-US,,
263,SHBK-US,,
264,SLRX-US,2018-06-15,2023-03-31
265,AKU-US,,
266,METG-US,2001-01-19,2004-12-24
267,UWR-US,,
268,HBIO-US,,
269,GLST-US,,
270,GYI-US,,
271,CLZR-US,2008-03-14,2010-01-05
272,GI-US,,
273,ANF-US,,
274,TLXN-US,,
275,SHFS-US,,
276,MURF-US,,
277,ELEC-US,,
278,CVET-US,,
279,ZTEK-US,,
280,NKTX-US,,
281,OKYO-US,,
282,RHI-US,,
283,ARTW-US,,
284,HOTT-US,,
285,CDI-US,,
286,RELI-US,,
287,WES-US,,
288,MCN-US,,
289,OB-US,,
290,ZGYH-US,,
291,SCPH-US,,
292,BYNO-US,,
293,FRW-US,,
294,PLMD-US,,
295,AMAOU-US,,
296,DMAQU-US,,
297,EFBC-US,,
298,IIR-US,,
299,EXR-US,,
300,FLBC-US,,
301,KTTA-US,,
302,CPT-US,,
303,SNC-US,,
304,RC-US,,
305,KRMD-US,,
306,TGA-US,,
307,FET-US,2019-07-19,2023-03-31
308,MGA-US,,
309,CBMD-US,,
310,GEOI-US,,
311,FBIO-US,,
312,GPAQ-US,,
313,SHCR-US,,
314,PRGS-US,,
315,VCSA-US,,
316,WKEY-US,,
317,IZEA-US,2012-06-15,2023-03-31
318,VYSI-US,,
319,NATL-US,,
320,WBC-US,,
321,JCI-US,2007-08-10,2012-03-02
322,SNCR-US,,
323,PTMK-US,,
324,GZTR-US,,
325,TGT-US,,
326,RACE-US,,
327,MOBQ-US,2020-02-21,2023-03-31
328,ADMS-US,2018-11-23,2021-11-23
329,FVB-US,,
330,RCHGU-US,,
331,SYY-US,,
332,CRZN-US,,
333,ASIS-US,,
334,SATL-US,,
335,BWSI-US,,
336,PLXS-US,,
337,LAKE-US,,
338,CXP-US,,
339,EBC-US,,
340,RSPP-US,,
341,MTIX-US,,
342,AURCU-US,,
343,NEWR-US,,
344,GBNK-US,,
345,JBLU-US,,
346,DCF-US,,
347,MRTN-US,,
348,IXAQ-US,,
349,NMRX-US,,
350,MCS-US,,
351,CMBC-US,,
352,EXD-US,,
353,AXTA-US,,
354,GBCI-US,,
355,BC-US,,
356,GROM-US,2018-07-13,2023-03-31
357,CSFL-US,,
358,ASTSF-US,,
359,MFLR-US,,
360,SOI-US,,
361,WPCA-US,,
362,CWBC-US,,
363,JASO-US,2008-10-10,2010-09-17
364,TWNK-US,,
365,HAAC-US,,
366,HBK-US,,
367,AGU-US,,
368,PAC-US,,
