,fsym_id,Implosion_Start_Date,Implosion_End_Date
0,BCDY15-R,,
1,BWDH57-R,,
2,CM6LSV-R,,
3,DLPMG0-R,,
4,DLS2W1-R,,
5,DYZLS9-R,,
6,F1F0GY-R,,
7,F1XPMX-R,,
8,F3WM7H-R,,
9,F73FZJ-R,,
10,F9RYVG-R,,
11,FBHDF9-R,,
12,FGZHQV-R,,
13,FS1C34-R,,
14,FZ8N3X-R,,
15,GQQB2X-R,,
16,H30FF2-R,,
17,HSFBXD-R,,
18,JF8HCY-R,,
19,JFZJY4-R,,
20,JGZL8D-R,,
21,JXS1DF-R,,
22,K15704-R,,
23,K3ZTFQ-R,,
24,L4226B-R,,
25,LD0G3K-R,,
26,LGQHDF-R,2011-11-11,2016-04-20
27,LZ633J-R,,
28,M1QSPW-R,,
29,M81RFS-R,,
30,MG3N9M-R,,
31,MT9WKH-R,,
32,MVGMR1-R,,
33,NDLVXL-R,,
34,P45JB6-R,,
35,QG2KS7-R,,
36,RLW7P4-R,,
37,RSQN90-R,,
38,RT66YK-R,,
39,RYTJNF-R,,
40,S6SNLZ-R,,
41,SJX4H5-R,,
42,SLFYY9-R,,
43,T9SMS3-R,,
44,TF5S9S-R,,
45,TLG87B-R,,
46,TY2XVL-R,,
47,VCP192-R,,
48,VL7MVD-R,,
49,W4LT8G-R,,
50,W4MP1D-R,,
51,W7SFVH-R,,
52,XHD10G-R,,
53,B2FWWC-R,,
54,BK60L7-R,,
55,BPCVLG-R,,
56,BRW6WT-R,,
57,C6H9ST-R,,
58,C8S1Q6-R,,
59,CSC7N1-R,,
60,D1MQKH-R,,
61,DJD3SM-R,,
62,DMZD01-R,,
63,DX9NZT-R,,
64,F0M3M6-R,,
65,F5XV55-R,,
66,FGW40D-R,,
67,GPDJHV-R,2019-12-20,2023-03-31
68,GTXCLG-R,,
69,H53QZC-R,,
70,H7HT7W-R,,
71,H7M58N-R,,
72,HFW74J-R,,
73,HRWKXN-R,,
74,J2MS10-R,,
75,J2ND6L-R,,
76,J3VMHT-R,,
77,JBFFYT-R,,
78,JMNLQC-R,,
79,JY6X2P-R,,
80,K38HHD-R,,
81,K9KVG3-R,,
82,KRQBC7-R,,
83,LN61SK-R,,
84,LRMCKB-R,,
85,LXWFYR-R,,
86,M0B85J-R,,
87,M9MQWS-R,,
88,N2F2N7-R,,
89,N2VGP9-R,,
90,N91LM3-R,,
91,NL4B1M-R,2016-02-05,2023-03-31
92,PGK4R1-R,,
93,PJPVZN-R,,
94,PL1D5M-R,,
95,PZFP38-R,2004-10-22,2023-03-31
96,Q1KLV4-R,,
97,Q3Z513-R,,
98,QCS6P8-R,,
99,QCZVQW-R,,
100,R8W74Y-R,,
101,RK5NX9-R,,
102,RSRRJ5-R,,
103,RYFC1M-R,,
104,RZS645-R,,
105,SZFZ65-R,,
106,TBPH4H-R,,
107,TH93Y3-R,,
108,TNG07J-R,,
109,TTJPM4-R,,
110,TVZTYR-R,,
111,TWC4NH-R,,
112,TXZZ6T-R,2018-04-06,2023-03-31
113,V1DXPN-R,,
114,VFK2Q8-R,,
115,VLJ5LW-R,,
116,VPXYB4-R,,
117,WC8QRH-R,,
118,WLW1F6-R,,
119,WV1HFQ-R,,
120,X55F5B-R,,
121,X8J5F2-R,,
122,B2JT9Z-R,2013-05-03,2023-03-31
123,C0Y8PC-R,,
124,CF2YB3-R,,
125,CW1NBY-R,,
126,D02444-R,,
127,D54BL9-R,,
128,D7H901-R,,
129,DCPS7W-R,,
130,DFV5GS-R,,
131,DTGRYY-R,,
132,F6GR0N-R,,
133,FF981S-R,,
134,FMDS8D-R,,
135,FPP069-R,2003-02-28,2006-05-03
136,G3BZQ3-R,,
137,GC96QL-R,,
138,H1KX0T-R,,
139,J7CMSH-R,,
140,JCDYCP-R,,
141,JS6T0W-R,,
142,JT7C6H-R,,
143,JXPMT5-R,,
144,KFB5ZY-R,,
145,KKQ5W2-R,,
146,KLMZMY-R,,
147,LC55NK-R,,
148,LCR3L3-R,,
149,LJM59H-R,,
150,M88N2R-R,,
151,M9L7HV-R,,
152,MRC5XN-R,,
153,MVJ1FC-R,,
154,NBJC05-R,,
155,NSZMVR-R,,
156,P54YCS-R,,
157,Q0G0WP-R,,
158,Q13C14-R,,
159,QDLM98-R,,
160,QHMHQR-R,,
161,QMSSSK-R,,
162,R150YG-R,,
163,R2HWSR-R,,
164,R8L0G5-R,,
165,RDPQXX-R,,
166,RDQ8ZF-R,,
167,RJ0470-R,,
168,RJ3KS7-R,,
169,RQ9F5S-R,,
170,RRTJSR-R,,
171,RSTWL5-R,,
172,RZQJPB-R,,
173,S48YD1-R,,
174,SD0LVB-R,,
175,SSL1GP-R,,
176,TKQJRW-R,,
177,V711NY-R,,
178,V98KZX-R,,
179,VB41MX-R,,
180,VBFYSG-R,,
181,VFCD79-R,,
182,VHKBPY-R,,
183,VLHSWJ-R,,
184,WJL6Q3-R,,
185,WV5X44-R,,
186,B3L98G-R,,
187,B46L9T-R,,
188,BVXYTZ-R,,
189,C9XF5D-R,,
190,CHBVFH-R,,
191,CN8KNS-R,,
192,CWJ8CT-R,,
193,D416H8-R,,
194,D417ZQ-R,,
195,D4Z84S-R,,
196,D8K39K-R,,
197,DFJTS4-R,,
198,G3KH8C-R,,
199,GN63J3-R,,
200,GSWXLY-R,,
201,GW1T5Q-R,,
202,GY8TTH-R,,
203,GYKC2H-R,,
204,H3YMGV-R,,
205,H9NY8W-R,,
206,HDWG7F-R,,
207,JBGCQP-R,,
208,JFW9S3-R,,
209,JVGP9G-R,,
210,KL6HY9-R,,
211,KTBGHT-R,,
212,L6F3HW-R,,
213,LQ851Q-R,,
214,M4KN02-R,,
215,NK4SPV-R,,
216,NT4FCM-R,,
217,NWDG2H-R,,
218,NWH4PH-R,,
219,P21Z9P-R,,
220,PW3WB2-R,,
221,Q7DTG6-R,,
222,QCSF2G-R,,
223,R6YV8L-R,,
224,RJSSMJ-R,,
225,RPBZNS-R,,
226,S49F9H-R,,
227,SDDJ64-R,,
228,SP9R0C-R,,
229,T66XM6-R,,
230,TKKPJB-R,,
231,TZ2TSL-R,,
232,V83VWD-R,,
233,VBGNQQ-R,,
234,VT9Q4G-R,,
235,VX338X-R,,
236,W46C7H-R,,
237,W8YQ0J-R,,
238,WQQ3T7-R,,
239,WYDJ3M-R,,
240,X2Y52B-R,,
241,X58L69-R,,
242,BGSNSG-R,,
243,BY89LN-R,,
244,BZ0W07-R,,
245,C1F24H-R,,
246,CD9D7T-R,,
247,CR41T6-R,,
248,CRNBH3-R,,
249,D0MVKD-R,,
250,D18900-R,,
251,DPP750-R,,
252,FNNDYN-R,,
253,G901LD-R,,
254,GFL4QW-R,,
255,GHWGMP-R,,
256,GV407P-R,,
257,GZPJ4H-R,,
258,HD33NF-R,,
259,HJLW6L-R,,
260,HVS4HG-R,,
261,JBPG7B-R,,
262,JCFJMC-R,,
263,JTCBT7-R,2001-11-16,2004-10-15
264,L0V3KJ-R,,
265,L7QPXZ-R,,
266,L9RR54-R,,
267,LSHTY3-R,,
268,LTM2DD-R,,
269,LYJKGS-R,,
270,MP03DY-R,,
271,MXVP2N-R,,
272,NK5CYJ-R,,
273,NMFB71-R,,
274,NPNZ1D-R,,
275,P8712C-R,,
276,QX1YH3-R,,
277,R02D69-R,,
278,S24JQQ-R,,
279,T1V6SV-R,,
280,T8HZ3W-R,,
281,TRD8YT-R,,
282,VGY2QM-R,,
283,VH60BK-R,,
284,VT398T-R,,
285,VT3DBS-R,,
286,VXQWN3-R,,
287,WCPG8P-R,,
288,WW43K8-R,,
289,WYFR9M-R,2021-02-26,2023-03-31
290,B4Q7Y8-R,,
291,B5K7NT-R,2015-05-01,2023-03-31
292,BGYGYZ-R,,
293,BHTCHG-R,,
294,BQNJ7P-R,,
295,C67N6N-R,,
296,G6RN78-R,,
297,HH3Z0W-R,,
298,J78PYH-R,,
299,JJ13QB-R,,
300,JNTDDC-R,,
301,JS30TB-R,,
302,JZZ7GF-R,,
303,KH25G3-R,,
304,KXV07D-R,,
305,L429NK-R,,
306,LG9KBX-R,,
307,M75128-R,,
308,M9LY3S-R,,
309,MFMN1X-R,,
310,MNXGCG-R,,
311,N2HZG7-R,,
312,NDKNMG-R,,
313,PC7L3S-R,,
314,PHJ97B-R,,
315,PVWM5Z-R,,
316,QLLHYV-R,,
317,QVJWKS-R,,
318,R2H9DY-R,,
319,RGN2CX-R,,
320,SX4L15-R,,
321,T8NBFZ-R,,
322,TG9B66-R,,
323,TJ72DJ-R,,
324,V9CM65-R,,
325,VMHW4P-R,,
326,VMQN21-R,,
327,VR49L6-R,,
328,WQL3MY-R,,
329,WSH7NP-R,,
330,XKT23W-R,,
331,BM9W61-R,,
332,BNFMGN-R,,
333,DNY1KW-R,,
334,FQDXKG-R,,
335,FY9LTQ-R,,
336,G3H60B-R,,
337,G6M9Z6-R,,
338,G92FS8-R,,
339,GN5T62-R,,
340,GYF76M-R,,
341,GZJ3G1-R,,
342,HVP7ZR-R,,
343,K1HJ8F-R,,
344,KNGM8Q-R,,
345,KQMVJV-R,,
346,KRLX28-R,,
347,LBZ9G1-R,,
348,MSMVV4-R,,
349,NFMTWL-R,,
