,fsym_id,Implosion_Start_Date,Implosion_End_Date
0,B0YHN2-R,,
1,B97MP0-R,,
2,B9FL4Q-R,,
3,BDMYJV-R,,
4,BTXS7L-R,,
5,BWZL1L-R,,
6,BXX8ND-R,,
7,BZNQ77-R,,
8,C4HBRT-R,,
9,CW2ML7-R,,
10,D0SNQX-R,,
11,D56WKT-R,,
12,D68JQB-R,,
13,D78XKS-R,,
14,DBNVQ8-R,,
15,FB8B4W-R,,
16,FGW64G-R,,
17,FHNN4S-R,,
18,G128VR-R,,
19,HVF3QC-R,,
20,J2V6TK-R,,
21,JG6Q8J-R,,
22,JK88ZM-R,,
23,JS72K4-R,,
24,K5HTZQ-R,,
25,KV3W5V-R,,
26,KV573G-R,2002-01-11,2003-08-22
27,L52PJ0-R,,
28,LC15C4-R,,
29,LF35TL-R,,
30,LGH9YY-R,,
31,LLS36K-R,,
32,LQ9YGD-R,,
33,LVYTWF-R,,
34,M897WZ-R,,
35,MBP29W-R,,
36,MH3MCP-R,,
37,MMV73D-R,,
38,MTFY99-R,,
39,NFF5FL-R,,
40,PTPHND-R,,
41,Q2QX26-R,,
42,Q2YN1N-R,,
43,QNDQ7P-R,,
44,QQZ2H1-R,,
45,R06MMM-R,,
46,R582JZ-R,,
47,RWBB0L-R,,
48,S20GZX-R,,
49,S8Z499-R,,
50,SHT84N-R,,
51,SMKN6Z-R,,
52,SYFH4M-R,,
53,SZJL5M-R,,
54,TP47C2-R,,
55,VVR5LV-R,,
56,WB58NS-R,,
57,WGMKDK-R,,
58,X59ZWM-R,,
59,B2F25G-R,,
60,BH0GRV-R,,
61,BZDNXQ-R,,
62,C3V10R-R,,
63,C5CHD4-R,,
64,C7LZYC-R,,
65,D41CTF-R,,
66,D8D666-R,,
67,DG6SCF-R,,
68,FK8VJJ-R,,
69,FRYXFV-R,,
70,FTVMP6-R,,
71,FYMPPT-R,,
72,G3C9LP-R,,
73,GK0XXM-R,,
74,HN195G-R,,
75,HSKYFG-R,,
76,J59D75-R,2017-06-16,2021-01-08
77,J76LJ3-R,,
78,JBLBKP-R,,
79,JKD9ND-R,,
80,JLJ785-R,,
81,K4L87N-R,,
82,K84V8K-R,,
83,KCDMC0-R,,
84,KRP8QM-R,,
85,LN48CW-R,,
86,LTSW9P-R,,
87,LYNWQV-R,,
88,M4VNZ9-R,,
89,NK09DX-R,,
90,NL7252-R,,
91,NPQ3BL-R,,
92,P2429N-R,,
93,P48K75-R,,
94,PRDD9Y-R,,
95,PW363J-R,,
96,PXKPX7-R,,
97,Q1LC8V-R,2007-08-24,2023-03-31
98,Q7Y0QS-R,,
99,QH5KM4-R,,
100,QS97RF-R,,
101,QXZDLN-R,,
102,S5879M-R,,
103,S8TF9W-R,,
104,SDDQLB-R,,
105,T64HMK-R,,
106,T6FT52-R,,
107,T7HVSP-R,,
108,V6W9ZV-R,,
109,VRRNRM-R,,
110,VW1SXV-R,,
111,VXPY7M-R,,
112,W35ZD1-R,,
113,W6XKL8-R,,
114,WFQ0ZS-R,,
115,X19XHF-R,,
116,X6GYGC-R,,
117,XLV24X-R,,
118,B3XHBN-R,,
119,CHMLH2-R,,
120,CN4ZZK-R,,
121,D0LVNG-R,,
122,D9JH82-R,,
123,D9Z7S8-R,,
124,DZ22CH-R,,
125,F966H9-R,,
126,F9VGNV-R,,
127,FT3PPF-R,,
128,FTPDQ9-R,,
129,FZRM9L-R,,
130,G8YNZ3-R,,
131,G9ZVGF-R,2014-09-12,2016-09-16
132,GQN0DG-R,,
133,HLWPSK-R,,
134,J4WVPS-R,,
135,JDPV6W-R,,
136,JK5ZZV-R,,
137,JVGTKL-R,,
138,JYWMBW-R,,
139,K26MTK-R,,
140,KV4BDM-R,,
141,KW3K0Z-R,,
142,LHJDXT-R,,
143,LNDJN4-R,,
144,LS4W92-R,,
