Unnamed: 0,Ticker,Implosion_Date
3,MBGCF,2016-10-02
4,MBGCF,2018-05-06
5,MBGCF,2022-04-03
6,ECK,2016-06-12
10,TAOP,2011-08-14
11,TAOP,2022-01-09
15,GIPL,2014-05-25
18,RTME,2012-05-27
19,NEGG,2022-05-15
20,DUR,2017-04-23
21,LEDS,2022-05-01
24,BNMV,2021-12-26
27,ELRE,2011-05-29
28,ELRE,2021-02-28
30,ASLN,2022-01-23
31,FTO,2012-09-30
32,NHKGF,2022-04-03
33,MVES,2016-01-10
34,SLUNF,2022-06-19
35,CNXA,2022-09-18
40,NBE,2015-08-16
44,ITGMF,2022-06-05
45,JSGCF,2016-10-02
46,JSGCF,2018-04-01
47,JSGCF,2019-09-29
48,JSGCF,2021-10-03
53,CETEF,2015-11-15
54,CETEF,2019-10-27
55,PTV,2012-01-01
56,BHOOY,2021-12-19
59,ILPT,2022-09-04
60,BETS,2021-12-05
61,OISXF,2022-09-04
62,ABEO,2012-07-15
63,ABIO,2011-08-07
64,ABVC,2010-04-04
65,ACB,2019-12-01
66,ACHV,2014-05-11
67,ACOR,2019-07-14
68,ACRX,2022-01-23
69,ACST,2021-11-21
70,ADIL,2022-07-24
71,AEHL,2022-01-30
72,AEMD,2017-06-11
73,AEZS,2012-04-15
74,AGLE,2022-03-06
75,AGRX,2021-10-10
76,AHT,2020-06-21
77,AIM,2010-06-27
78,AIM,2019-07-28
79,AIU,2021-05-30
80,AKTX,2018-02-04
81,AKTX,2022-10-16
82,ALLK,2021-12-26
83,ALPP,2018-01-14
84,ALPP,2022-04-03
85,ALRN,2018-07-29
86,AMC,2022-08-28
87,AMPE,2016-07-10
88,AMPE,2018-08-12
89,AMPE,2021-12-26
90,AMSC,2011-05-22
91,ANTE,2018-04-08
92,ANY,2015-12-06
93,APDN,2019-07-28
94,APM,2020-03-01
95,APRE,2021-02-07
96,APRN,2022-10-16
97,APVO,2019-03-10
98,APVO,2021-12-05
99,AQB,2018-01-14
100,AQB,2021-12-05
101,ARAV,2017-09-24
102,ARCT,2017-02-05
103,ASMB,2012-07-15
