Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AADI,Aadi Bioscience Inc,N/A,4.86,0,N/A,N/A,0,119.16652,0,N/A,0.787523582,14.13,3.88
AAN,Aarons Company Inc (The),Industrials,7.47,0.064211415,N/A,N/A,0.479659273,226.559774,24.29856005,1.588275739,1.120825949,15.96,7
AAON,AAON Inc.,Industrials,57.87,0.006884542,N/A,N/A,0.398408428,4722.740781,31.72456475,0.14701418,1.127096861,71.22,43.17
AAT,American Assets Trust Inc,Real Estate,19.95,0.066165414,0.03125,0.033406483,1.279426066,1211.456369,24.46101782,1.971380688,1.129894806,28.37,15.52
ABCB,Ameris Bancorp,Financial Services,41.84,0.014177081,0,0.084471771,0.593169064,2892.78781,9.712817326,0.137946294,1.363564079,52.94,27.86
ABCL,AbCellera Biologics Inc,N/A,4.7,0,N/A,N/A,0,1359.972575,N/A,0,1.12120935,14.97,3.87
ABG,Asbury Automotive Group Inc,Consumer Cyclical,210.02,0,N/A,N/A,0,4321.659667,4.800777236,0,1.401171681,256.39,153.7
ABM,ABM Industries Inc.,Industrials,40.86,0.021536955,0.128205128,0.040950397,0.872950122,2677.643812,11.28379188,0.245901443,0.825806939,48.8,37.4
ABR,Arbor Realty Trust Inc.,Real Estate,12.89,0.133436773,0.075,0.097541469,1.572471669,2429.786165,7.440550482,1.041371966,1.203029456,17.28,9.52
ABSI,Absci Corp,N/A,1.42,0,N/A,N/A,0,131.649555,N/A,0,2.318308584,3.71,1.11
ABUS,Arbutus Biopharma Corp,Healthcare,1.92,0,N/A,N/A,0,321.708789,N/A,0,0.923884856,3.15,1.69
AC,Associated Capital Group Inc,Financial Services,34.21,0.005838049,N/A,N/A,0.199719657,93.26012,0,N/A,,42.85,30.92
ACA,Arcosa Inc,Industrials,67.66,0.002952842,0,0,0.199789266,3299.220208,11.54380759,0.033977766,0.842953213,79.32,51.88
ACAD,Acadia Pharmaceuticals Inc,Healthcare,24.07,0,N/A,N/A,0,3940.9811,N/A,0,1.114788135,33.99,14.43
ACCD,Accolade Inc,N/A,7.26,0,N/A,N/A,0,553.445714,0,N/A,2.28123488,17.01,6.33
ACCO,Acco Brands Corporation,Industrials,5.05,0.058163186,0,0.045639553,0.293724088,479.245,N/A,N/A,1.07155482,6.34,4.17
ACEL,Accel Entertainment Inc,Consumer Cyclical,10.38,0,N/A,N/A,0,888.692046,16.15363166,0,0.897190675,12.05,7.26
ACET,Adicet Bio Inc,N/A,1.65,0,N/A,N/A,0,71.059161,0,N/A,0.971492234,21.87,1.19
ACHR,Archer Aviation Inc,N/A,5.47,0,N/A,N/A,0,1140.925451,0,N/A,2.363995238,7.49,1.62
ACIW,ACI Worldwide Inc,Technology,24.09,0,N/A,N/A,0,2616.174,29.35530346,0,1.261572344,29.14,19.56
ACLS,Axcelis Technologies Inc,Technology,131.11,0,N/A,N/A,0,4302.697705,18.53013654,0,1.719147833,201,64.49
ACLX,Arcellx Inc,N/A,44.63,0,N/A,N/A,0,2158.261322,0,N/A,0.920506494,48.92,18.7
ACMR,ACM Research Inc,Technology,15.095,0,N/A,N/A,0,830.235642,12.43184107,0,2.194941971,21.07,6.91
ACNB,ACNB Corp.,Financial Services,36.15,0.030262104,0.076923077,0.040126207,1.093975076,309.598794,0,N/A,0.859169409,39.56,26.07
ACRE,Ares Commercial Real Estate Corp,Real Estate,9.97,0.132397192,0,0.751849481,1.311035607,539.738642,N/A,N/A,1.341914197,11.49,7.03
ACRS,Aclaris Therapeutics Inc,Healthcare,5.37,0,N/A,N/A,0,380.167228,N/A,0,0.961658384,18.96,4.33
ACRV,Acrivon Therapeutics Inc,N/A,5.75,0,N/A,N/A,0,126.919267,0,N/A,0.815647716,25.47,4.96
ACT,Enact Holdings Inc,,28.23,0.02099008,N/A,N/A,0.59254996,4516.624635,6.927242776,0.14776807,0.654306524,29.41,20.48
ACVA,ACV Auctions Inc,N/A,14.71,0,N/A,N/A,0,1987.217,N/A,0,2.095204187,18.68,6.51
ADC,Agree Realty Corp.,Real Estate,58.98,0.050186504,0.016460905,0.017031067,2.84323399,5928.652909,37.73207897,1.672490582,0.524528665,73.13,52.69
ADEA,Adeia Inc,N/A,9.08,0.021710651,N/A,N/A,0.197132713,969.320754,0,N/A,0.768496788,12.24,6.97
ADMA,Adma Biologics Inc,Healthcare,3.65,0,N/A,N/A,0,820.908455,0,N/A,1.53169025,4.65,2.47
ADNT,Adient plc,Consumer Cyclical,35.91,0,N/A,N/A,0,3400.74882,29.57172887,0,1.505750239,47.5,32.59
ADPT,Adaptive Biotechnologies Corp,Healthcare,4.97,0,N/A,N/A,0,718.886236,N/A,0,2.68435441,10.79,3.94
ADTH,AdTheorent Holding Company Inc,N/A,1.2,0,N/A,N/A,0,105.845921,6.549871337,0,0.643830057,2.59,1.11
ADTN,ADTRAN Holdings Inc,Technology,7.29,0.048411607,N/A,N/A,0.352920612,573.590533,0,N/A,1.379450637,20.8,6.28
ADUS,Addus HomeCare Corporation,Healthcare,84.67,0,N/A,N/A,0,1372.89467,23.79366845,0,0.559540461,114.99,77.3
ADV,Advantage Solutions Inc.,N/A,2.4,0,N/A,N/A,0,778.918675,N/A,0,0.947285151,3.47,1.13
AEIS,Advanced Energy Industries Inc.,Industrials,91.75,0.004350835,N/A,N/A,0.399189084,3420.50028,25.42612472,0.112131765,1.502037521,126.27,80.19
AEL,American Equity Investment Life Holding Co,Financial Services,53.64,0.007084265,N/A,N/A,0.360000014,4200.012,9.336783487,0.067415733,0.675770035,54.44,28.05
AEO,American Eagle Outfitters Inc.,Consumer Cyclical,18.53,0.016083081,N/A,N/A,0.298019491,3659.369848,18.03667027,0.299006212,1.370127907,18.76,9.81
AEVA,Aeva Technologies Inc,N/A,0.6157,0,N/A,N/A,0,137.13233,N/A,0,2.639002198,2.38,0.465
AFCG,AFC Gamma Inc,N/A,11.14,0.170605892,N/A,N/A,1.900549636,227.898745,6.230280489,1.055860909,0.848981719,14.57,8.84
AFMD,Affimed N.V.,Healthcare,0.3648,0,N/A,N/A,0,54.478989,0,N/A,1.169341095,2.55,0.2235
AGEN,Agenus Inc,Healthcare,0.8449,0,N/A,N/A,0,320.700541,N/A,0,1.888402939,3.24,0.7333
AGIO,Agios Pharmaceuticals Inc,Healthcare,22.49,0,N/A,N/A,0,1253.576992,0.78266138,0,1.274589044,31.87,19.8
AGM,Federal Agricultural Mortgage Corp.,Financial Services,162.83,0.027022048,0.157894737,0.136561494,4.206239767,1652.134223,10.9056083,0.302825037,1.070439008,178.97,108.8
AGTI,Agiliti Inc,N/A,6.01,0,N/A,N/A,0,811.702216,188.3736867,0,1.24742229,20.17,5.07
AGX,"Argan, Inc.",Industrials,45.13,0.023049793,0.2,0.037137289,1.04023718,601.07081,16.57349133,0.391066609,0.509042184,47.48,32.12
AGYS,"Agilysys, Inc",Technology,90.06,0,N/A,N/A,0,2285.117597,186.9369762,0,0.673376328,90.73,60.59
AHCO,AdaptHealth Corp,Healthcare,8.47,0,N/A,N/A,0,1152.817905,29.13731593,0,1.216562256,23.09,6.92
AHH,Armada Hoffler Properties Inc,Real Estate,10.52,0.071320124,N/A,N/A,0.750287704,714.800273,15.66925935,1.115006247,1.036155794,13.04,9.81
AHT,Ashford Hospitality Trust Inc,Real Estate,2.61,0,N/A,N/A,0,90.027628,N/A,0,2.132004247,7.52,1.92
AI,C3.ai Inc,Real Estate,28.59,0,N/A,N/A,0,3279.323661,N/A,0,3.182805392,48.87,10.16
AIN,Albany International Corp.,Consumer Cyclical,87.3,0.011407341,0.19047619,0.067907166,0.995860868,2721.966945,33.03959392,0.377220026,0.997707976,114.43,78.2
AIP,Arteris Inc,N/A,6.66,0,N/A,N/A,0,240.251495,N/A,0,1.894579671,8.08,3.27
AIR,AAR Corp.,Industrials,62.95,0,N/A,N/A,0,2221.820061,33.2110622,0,0.896580387,63.88,41.17
AIRS,Airsculpt Technologies Inc,N/A,6.54,0,N/A,N/A,0,371.373691,N/A,0,1.645076764,9.94,2.69
AIT,Applied Industrial Technologies Inc.,Industrials,157.1,0.008911521,0.029411765,0.024569138,1.384903491,6087.254401,16.73771093,0.149557612,0.942713125,164.82,116.07
AIV,Apartment Investment & Management Co.,Real Estate,6.33,0,N/A,N/A,0,935.754671,N/A,0,1.134959081,8.93,5.63
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,57.99,0,N/A,N/A,0,4683.208089,63.45810419,0,0.469332737,58.01,39.18
AKA,a.k.a. Brands Holding Corp,N/A,7.57,0,N/A,N/A,0,970.555726,0,N/A,0.659295097,24.96,3.6
AKR,Acadia Realty Trust,Real Estate,15.33,0.046966732,N/A,N/A,0.706441722,1461.572624,60.75961856,2.795574681,1.203586013,16.16,12.06
AKRO,Akero Therapeutics Inc,Healthcare,14.58,0,N/A,N/A,0,810.679712,0,N/A,0.694644562,58.38,11.25
AKTS,Akoustis Technologies Inc,Technology,0.646,0,N/A,N/A,0,46.741218,0,N/A,2.480364898,4.96,0.46
AKYA,Akoya Biosciences Inc,N/A,3.96,0,N/A,N/A,0,193.805833,N/A,0,1.665113194,14.15,3.04
ALCO,Alico Inc.,Consumer Defensive,25.62,0.00776394,-0.9,-0.035807496,0.198912151,194.982317,N/A,N/A,0.700051969,32.8,22.4
ALE,"Allete, Inc.",Utilities,55.98,0.048410146,0.042307692,0.038829454,2.637536069,3213.148885,12.99291907,0.611957325,0.503663745,65.19,49.29
ALEC,Alector Inc,Healthcare,5.88,0,N/A,N/A,0,492.922164,N/A,0,1.626179241,9.86,4.88
ALEX,Alexander & Baldwin Inc.,Real Estate,16.72,0.051665848,N/A,N/A,0.863852979,1214.29,N/A,N/A,0.976030511,19.77,15.56
ALG,Alamo Group Inc.,Industrials,180.87,0.004856464,0.222222222,0.128881321,0.878388581,2172.344923,16.23539773,0.078567852,0.89458064,200.56,136.77
ALGT,Allegiant Travel,Industrials,64.81,0.009257831,N/A,N/A,0.600000024,1195.557394,8.204089795,0.073710077,1.425957219,129.44,60.76
ALHC,Alignment Healthcare Inc,N/A,6.02,0,N/A,N/A,0,1134.197161,N/A,0,1.03749173,13.92,4.88
ALIT,Alight Inc.,N/A,7.21,0,N/A,N/A,0,3613.532285,N/A,0,1.373917767,10.19,6.33
ALKS,Alkermes plc,Healthcare,24.79,0,N/A,N/A,0,4136.98708,19.26653322,0,0.514623584,33.71,22.01
ALKT,Alkami Technology Inc,N/A,20.01,0,N/A,N/A,0,1885.519809,N/A,0,1.223991242,21.24,10.93
ALLO,Allogene Therapeutics Inc,Healthcare,3.5,0,N/A,N/A,0,586.692278,N/A,0,1.520599513,11.1,2.53
ALPN,Alpine Immune Sciences Inc,Healthcare,16.07,0,N/A,N/A,0,790.66886,N/A,0,1.296164957,16.25,5.36
ALRM,Alarm.com Holdings Inc,Technology,52.33,0,N/A,N/A,0,2611.588411,39.19420715,0,1.485010667,62.64,44.92
ALRS,Alerus Financial Corp,Financial Services,18.02,0.042175361,0.055555556,0.062980048,0.719691869,360.217836,9.641805027,0.389022632,0.978937632,22.75,12.58
ALTG,Alta Equipment Group Inc,Industrials,10.35,0.021902643,N/A,N/A,0.22669235,335.009959,69.7937415,1.532740703,1.265865245,20.44,8.76
ALTO,Alto Ingredients Inc,N/A,4.62,0,N/A,N/A,0,350.710548,N/A,0,1.893115137,4.69,1.2
ALTR,Altair Engineering Inc,Technology,65.74,0,N/A,N/A,0,3554.74528,N/A,0,1.19837,78.49,43.68
ALVR,AlloVir Inc,N/A,1.68,0,N/A,N/A,0,191.511025,0,N/A,2.291858673,8.95,1.34
ALX,Alexander`s Inc.,Real Estate,194.52,0.089327424,0,0,17.37597054,993.470051,10.00433065,0.89751914,0.667263125,225.71,148.49
ALXO,Alx Oncology Holdings Inc,N/A,8.32,0,N/A,N/A,0,342.383134,0,N/A,0.940076732,13.64,3.94
AMAL,Amalgamated Financial Corp,Financial Services,19.47,0.020309045,0,0.107566343,0.395417114,592.982389,6.539357395,0.134954646,0.792039246,26.72,13.93
AMBA,Ambarella Inc,Technology,50.16,0,N/A,N/A,0,2000.292067,N/A,0,1.984014826,99.86,43.59
AMBC,AMBAC Financial Group Inc.,Financial Services,12.5,0,N/A,N/A,0,566.299975,1.199788083,0,0.790190163,17.75,11.26
AMCX,AMC Networks Inc,Communication Services,15,0,N/A,N/A,0,480.30405,N/A,0,1.829741085,27.46,9.96
AMEH,Apollo Medical Holdings Inc,Healthcare,31.97,0,N/A,N/A,0,1840.26347,40.73993204,0,1.145328725,40.81,26.89
AMK,Assetmark Financial Holdings Inc,Financial Services,24.2,0,N/A,N/A,0,1797.141199,0,N/A,0.923825639,33,22.58
AMKR,AMKOR Technology Inc.,Technology,23.83,0.012554526,N/A,N/A,0.299174361,5856.654157,14.40567051,0.181317794,1.653538636,31.2,17.58
AMLX,Amylyx Pharmaceuticals Inc,N/A,18.43,0,N/A,N/A,0,1241.771803,N/A,0,1.06544537,41.93,15.61
AMN,AMN Healthcare Services Inc.,Healthcare,67.15,0,N/A,N/A,0,2550.902795,7.990098275,0,0.470391708,125.36,66.81
AMNB,American National Bankshares Inc.,Financial Services,42.52,0.027538481,0.071428571,0.037137289,1.170936204,451.9498,13.45649377,0.370549432,0.89671446,43.27,24.34
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,46.59,0,N/A,N/A,0,2248.8993,22.0603602,0,0.600200646,67.66,26.76
AMPL,Amplitude Inc,N/A,10.75,0,N/A,N/A,0,885.886,N/A,0,1.705797219,16.95,8.5
AMPS,Altus Power Inc,N/A,5.76,0,N/A,N/A,0,915.782129,N/A,0,1.662031794,8.96,4.08
AMPY,Amplify Energy Corp.,Energy,6.95,0,N/A,N/A,0,271.483006,0,N/A,1.047305177,10.23,5.97
AMR,Alpha Metallurgical Resources Inc,N/A,219.81,0.008421086,N/A,N/A,1.851038984,3334.616834,4.349764987,0.037065258,0.855598787,267.6,129.46
AMRC,Ameresco Inc.,Industrials,29.81,0,N/A,N/A,0,1019.502,0,N/A,2.096215498,68.75,24.95
AMRK,A-Mark Precious Metals Inc,Financial Services,27.28,0.027628626,N/A,N/A,0.753708922,641.269378,0,N/A,0.744696032,39.27,24.41
AMRS,Amyris Inc,Basic Materials,0.05,0,N/A,N/A,0,0,0,N/A,,,
AMRX,Amneal Pharmaceuticals Inc,Healthcare,4.29,0,N/A,N/A,0,661.496378,N/A,0,1.49406479,4.74,1.24
AMSF,Amerisafe Inc,Financial Services,51.58,0.025336516,0.096774194,-0.372690052,1.30685752,989.394613,15.53087848,0.394821003,0.529362769,57.3,46.31
AMSWA,American Software Inc.,Technology,11.07,0.039209633,0,0,0.434050634,358.057633,0,N/A,0.80463248,16.96,10.01
AMTB,Amerant Bancorp Inc,Financial Services,19.96,0,N/A,N/A,0,670.194804,9.801178786,0,1.09775696,30.34,15.56
AMTX,Aemetis Inc,Energy,4.85,0,N/A,N/A,0,188.4225,0,N/A,3.115875023,8.99,1.16
AMWD,American Woodmark Corp.,Consumer Cyclical,72.73,0,N/A,N/A,0,1194.271547,10.7106674,0,1.488728421,80.27,43.86
AMWL,American Well Corporation,N/A,1.42,0,N/A,N/A,0,361.565063,N/A,0,1.957333029,4.39,0.9251
ANAB,AnaptysBio Inc,Healthcare,17.53,0,N/A,N/A,0,465.343982,N/A,0,0.466102259,32.44,15.88
ANDE,Andersons Inc.,Consumer Defensive,52.77,0.014023119,0.027777778,0.017055286,0.732306276,1781.102855,20.69413551,0.290597729,0.895631201,53.29,32.38
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,65.5,0,N/A,N/A,0,3298.388151,30.09917644,0,1.413244904,66.17,16.81
ANGO,Angiodynamic Inc,Healthcare,6.81,0,N/A,N/A,0,271.355625,42.09674608,0,0.640770942,15.96,6.06
ANIK,Anika Therapeutics Inc.,Healthcare,21.12,0,N/A,N/A,0,309.009085,N/A,0,0.851767289,32.51,16.54
ANIP,ANI Pharmaceuticals Inc,Healthcare,65.43,0,N/A,N/A,0,1326.972613,N/A,0,0.958449559,65.89,32.16
ANTX,AN2 Therapeutics Inc,N/A,15.06,0,N/A,N/A,0,330.242487,0,N/A,0.493683305,17.29,4.87
AOMR,Angel Oak Mortgage REIT Inc,N/A,8.62,0.140515707,N/A,N/A,1.211245391,215.116979,N/A,N/A,1.42019066,9.67,3.94
AORT,Artivion Inc,N/A,14.23,0,N/A,N/A,0,583.995799,N/A,0,1.50978555,17.97,10.72
